<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.10.01	1.29170	1.29784	1.28185	1.28859	64828	0	0
2020.10.02	1.28924	1.29539	1.28360	1.29366	68874	0	0
2020.10.05	1.29255	1.29905	1.28992	1.29764	43189	0	0
2020.10.06	1.29767	1.30067	1.28664	1.28711	54072	0	0
2020.10.07	1.28712	1.29293	1.28442	1.29144	51294	0	0
2020.10.08	1.29134	1.29699	1.28906	1.29360	42978	0	0
2020.10.09	1.29357	1.30487	1.29203	1.30487	40878	0	0
2020.10.12	1.30245	1.30823	1.30051	1.30620	36161	0	0
2020.10.13	1.30637	1.30681	1.29216	1.29348	46380	0	0
2020.10.14	1.29349	1.30643	1.28625	1.30114	47092	0	0
2020.10.15	1.30114	1.30295	1.28900	1.29025	54018	0	0
2020.10.16	1.29022	1.29621	1.28562	1.29073	47472	0	0
2020.10.19	1.28950	1.30241	1.28929	1.29421	45210	0	0
2020.10.20	1.29421	1.29793	1.29105	1.29469	42365	0	0
2020.10.21	1.29463	1.31764	1.29373	1.31454	51246	0	0
2020.10.22	1.31421	1.31527	1.30700	1.30801	46147	0	0
2020.10.23	1.30894	1.31218	1.30187	1.30437	42094	0	0
2020.10.26	1.30528	1.30748	1.29925	1.30161	46920	0	0
2020.10.27	1.30161	1.30794	1.30003	1.30420	40904	0	0
2020.10.28	1.30420	1.30635	1.29160	1.29841	57852	0	0
2020.10.29	1.29822	1.30256	1.28804	1.29256	58312	0	0
2020.10.30	1.29256	1.29877	1.28987	1.29502	58672	0	0
2020.11.02	1.29216	1.29424	1.28535	1.29154	44970	0	0
2020.11.03	1.29154	1.30784	1.29073	1.30576	36867	0	0
2020.11.04	1.30573	1.31398	1.29137	1.29860	80452	0	0
2020.11.05	1.29858	1.31548	1.29294	1.31452	147876	0	0
2020.11.06	1.31452	1.31771	1.30923	1.31475	156946	0	0
2020.11.09	1.31547	1.32083	1.31182	1.31632	175614	0	0
2020.11.10	1.31627	1.32783	1.31544	1.32692	160629	0	0
2020.11.11	1.32692	1.33138	1.31909	1.32205	114931	0	1
2020.11.12	1.32205	1.32283	1.31060	1.31150	104698	0	0
2020.11.13	1.31144	1.31996	1.31089	1.31982	88619	0	1
2020.11.16	1.31602	1.32426	1.31594	1.31964	98178	0	0
2020.11.17	1.31967	1.32727	1.31789	1.32449	99231	0	0
2020.11.18	1.32449	1.33121	1.32433	1.32657	87068	0	1
2020.11.19	1.32709	1.32790	1.31956	1.32599	97012	0	0
2020.11.20	1.32604	1.32969	1.32448	1.32896	86940	0	1
2020.11.23	1.32873	1.33978	1.32636	1.33244	95921	0	0
2020.11.24	1.33250	1.33803	1.32925	1.33585	104800	0	1
2020.11.25	1.33586	1.33934	1.33038	1.33860	96349	0	1
2020.11.26	1.33723	1.33977	1.33217	1.33567	57715	0	0
2020.11.27	1.33566	1.33817	1.32877	1.33083	77611	0	0
2020.11.30	1.33266	1.33845	1.33052	1.33224	94300	0	0
2020.12.01	1.33201	1.34426	1.33155	1.34186	91787	0	1
2020.12.02	1.34199	1.34409	1.32873	1.33645	95733	0	0
2020.12.03	1.33656	1.35001	1.33473	1.34505	79110	0	0
2020.12.04	1.34401	1.35397	1.34109	1.34344	93549	0	0
2020.12.07	1.34093	1.34377	1.32243	1.33789	94156	0	0
2020.12.08	1.33772	1.33933	1.32894	1.33575	98828	0	0
2020.12.09	1.33539	1.34777	1.33485	1.34017	81621	0	0
2020.12.10	1.34020	1.34105	1.32454	1.32909	102405	0	0
2020.12.11	1.32945	1.33244	1.31338	1.32296	92613	0	0
2020.12.14	1.33427	1.34450	1.32899	1.33288	94306	0	0
2020.12.15	1.33238	1.34699	1.32801	1.34575	98818	0	0
2020.12.16	1.34573	1.35538	1.34342	1.35078	94769	0	0
2020.12.17	1.35081	1.36245	1.34951	1.35832	85801	0	0
2020.12.18	1.35854	1.35896	1.34712	1.34976	79259	0	0
2020.12.21	1.33952	1.34987	1.31877	1.34608	118344	0	0
2020.12.22	1.34617	1.34692	1.33039	1.33586	101867	0	0
2020.12.23	1.33593	1.35703	1.33519	1.34904	105108	0	0
2020.12.24	1.34908	1.36193	1.34876	1.35336	69180	0	0
2020.12.28	1.35441	1.35762	1.34293	1.34511	74871	0	0
2020.12.29	1.34507	1.35225	1.34392	1.35003	87063	0	0
2020.12.30	1.35003	1.36253	1.34902	1.36237	86197	0	0
2020.12.31	1.36234	1.36863	1.36040	1.36745	83170	0	0
2021.01.04	1.36452	1.37037	1.35418	1.35680	104056	0	0
2021.01.05	1.35679	1.36421	1.35540	1.36255	97393	0	0
2021.01.06	1.36252	1.36711	1.35385	1.36078	130167	0	0
2021.01.07	1.36065	1.36332	1.35326	1.35625	97410	0	0
2021.01.08	1.35626	1.36356	1.35380	1.35606	111871	0	0
2021.01.11	1.35402	1.35688	1.34508	1.35116	95423	0	0
2021.01.12	1.35112	1.36700	1.35040	1.36626	93047	0	0
2021.01.13	1.36625	1.37008	1.36117	1.36338	86416	0	0
2021.01.14	1.36352	1.37110	1.36160	1.36862	91933	0	0
2021.01.15	1.36858	1.36975	1.35724	1.35820	90213	0	0
2021.01.18	1.35870	1.35987	1.35196	1.35851	68189	0	0
2021.01.19	1.35853	1.36364	1.35730	1.36325	78451	0	0
2021.01.20	1.36291	1.37186	1.36225	1.36504	85549	0	0
2021.01.21	1.36506	1.37462	1.36476	1.37304	80449	0	0
2021.01.22	1.37311	1.37357	1.36356	1.36822	73034	0	0
2021.01.25	1.36793	1.37237	1.36487	1.36743	77208	0	0
2021.01.26	1.36744	1.37441	1.36099	1.37359	70048	0	0
2021.01.27	1.37362	1.37586	1.36590	1.36853	94235	0	0
2021.01.28	1.36852	1.37455	1.36301	1.37181	101305	0	0
2021.01.29	1.37186	1.37514	1.36573	1.36981	98298	0	0
2021.02.01	1.37029	1.37579	1.36564	1.36601	85137	0	0
2021.02.02	1.36596	1.37105	1.36113	1.36672	79984	0	0
2021.02.03	1.36669	1.36831	1.36193	1.36435	77118	0	0
2021.02.04	1.36428	1.36977	1.35647	1.36715	81986	0	0
2021.02.05	1.36715	1.37399	1.36603	1.37363	84121	0	0
2021.02.08	1.37169	1.37492	1.36802	1.37379	80436	0	0
2021.02.09	1.37376	1.38206	1.37312	1.38154	81855	0	0
2021.02.10	1.38154	1.38659	1.38024	1.38314	68324	0	0
2021.02.11	1.38303	1.38591	1.38005	1.38143	67360	0	0
2021.02.12	1.38127	1.38623	1.37756	1.38533	75991	0	0
2021.02.15	1.38462	1.39191	1.38462	1.38997	62853	0	0
2021.02.16	1.38995	1.39521	1.38694	1.39021	98552	0	0
2021.02.17	1.39014	1.39076	1.38296	1.38596	104013	0	0
2021.02.18	1.38626	1.39857	1.38396	1.39725	93173	0	0
