<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.10.01	136.240	137.008	135.356	135.973	86458	0	0
2020.10.02	136.034	136.388	135.044	136.262	92212	0	0
2020.10.05	136.043	137.342	135.983	137.239	67822	0	0
2020.10.06	137.221	137.441	135.931	135.945	74797	0	0
2020.10.07	135.945	136.987	135.864	136.855	70001	0	1
2020.10.08	136.843	137.399	136.678	137.152	64997	0	1
2020.10.09	137.148	137.829	136.784	137.829	62744	0	0
2020.10.12	137.735	137.819	137.214	137.579	56254	0	0
2020.10.13	137.617	137.771	136.369	136.431	63532	0	0
2020.10.14	136.429	137.327	135.660	136.833	65131	0	0
2020.10.15	136.824	137.169	135.766	136.082	71240	0	0
2020.10.16	136.122	136.411	135.337	136.043	63317	0	0
2020.10.19	135.875	137.242	135.849	136.464	60730	0	0
2020.10.20	136.464	137.033	136.309	136.601	63977	0	0
2020.10.21	136.576	137.660	136.373	137.461	73492	0	0
2020.10.22	137.469	137.586	136.958	137.133	62269	0	0
2020.10.23	137.133	137.371	136.369	136.586	61907	0	0
2020.10.26	136.606	137.057	136.294	136.469	63347	0	1
2020.10.27	136.490	136.587	136.112	136.257	60061	0	0
2020.10.28	136.257	136.275	134.880	135.418	90567	0	0
2020.10.29	135.417	135.946	134.636	135.173	86320	0	1
2020.10.30	135.173	135.801	134.400	135.543	88413	0	0
2020.11.02	135.010	135.428	134.871	135.256	61316	0	0
2020.11.03	135.256	136.688	135.150	136.366	66756	0	1
2020.11.04	136.372	137.372	135.363	135.673	127320	0	0
2020.11.05	135.706	136.309	135.075	136.067	125353	0	0
2020.11.06	136.041	136.242	135.463	135.907	117850	0	0
2020.11.09	135.871	138.910	135.715	138.688	136465	0	0
2020.11.10	138.688	139.772	138.163	139.700	133229	0	0
2020.11.11	139.698	140.315	139.205	139.359	97028	0	0
2020.11.12	139.360	139.437	137.746	137.849	96332	0	0
2020.11.13	137.844	138.511	137.542	138.067	84873	0	0
2020.11.16	137.801	138.871	137.662	137.946	93390	0	0
2020.11.17	137.947	138.357	137.813	137.995	91673	0	0
2020.11.18	137.994	138.199	137.706	137.726	84942	0	0
2020.11.19	137.792	137.997	137.195	137.579	93796	0	0
2020.11.20	137.579	138.056	137.383	137.996	82648	0	0
2020.11.23	137.828	139.339	137.809	139.220	91381	0	0
2020.11.24	139.221	139.840	139.069	139.513	98437	0	0
2020.11.25	139.513	139.856	138.998	139.781	94106	0	0
2020.11.26	139.628	139.844	138.926	139.240	64427	0	0
2020.11.27	139.266	139.293	138.274	138.465	76620	0	0
2020.11.30	138.537	139.468	138.328	138.966	98264	0	0
2020.12.01	138.934	140.311	138.832	139.979	93505	0	0
2020.12.02	139.979	140.444	138.889	139.535	100189	0	0
2020.12.03	139.535	140.287	139.406	139.643	99017	0	0
2020.12.04	139.643	140.707	139.444	139.970	99335	0	0
2020.12.07	139.595	139.874	137.903	139.176	97089	0	0
2020.12.08	139.151	139.375	138.407	139.095	105039	0	0
2020.12.09	139.095	140.332	139.009	139.665	88144	0	0
2020.12.10	139.465	139.787	138.385	138.528	103868	0	0
2020.12.11	138.525	138.730	136.786	137.624	93087	0	0
2020.12.14	138.672	139.434	138.266	138.632	95965	0	0
2020.12.15	138.586	139.607	138.279	139.574	89158	0	0
2020.12.16	139.521	140.063	139.145	139.758	92223	0	0
2020.12.17	139.771	140.448	139.575	140.057	83056	0	0
2020.12.18	140.029	140.325	139.313	139.444	81099	0	0
2020.12.21	138.662	139.528	136.963	139.058	117008	0	0
2020.12.22	139.068	139.143	137.995	138.428	97219	0	0
2020.12.23	138.429	140.316	138.228	139.725	96188	0	0
2020.12.24	139.721	141.209	139.515	140.307	54271	0	0
2020.12.28	140.193	140.571	139.475	139.563	74633	0	0
2020.12.29	139.531	140.167	139.490	139.867	68355	0	0
2020.12.30	139.841	140.666	139.693	140.572	89073	0	0
2020.12.31	140.579	141.228	140.305	141.185	80599	0	0
2021.01.04	140.657	141.307	139.689	139.903	103139	0	0
